price,score,name,link
80.00,94,Zuccardi Aluvional Altamira Malbec 2011,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/zuccardi-aluvional-altamira-malbec-2011-468058
24.75,95,The Lane Single Vineyard Block 14 Basket Press Shiraz 2016,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/the-lane-single-vineyard-block-14-basket-press-shiraz-2016-470591
14.95,91,Cantina San Paolo Aglianico 2017,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/cantina-san-paolo-aglianico-2017-473132
32.00,93,La Chapelle de Lafaurie-Peyraguey 2015,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/la-chapelle-de-lafaurie-peyraguey-2015-477588
38.00,91,Le Macchiole Bolgheri Rosso 2017,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/le-macchiole-bolgheri-rosso-2017-483412
21.95,93,Old Coach Road Sauvignon Blanc 2019,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/old-coach-road-sauvignon-blanc-2019-483495
15.95,91,Château L'Espérance 2010,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/ch%C3%A2teau-lesp%C3%A9rance-2010-487868
73.00,96,Domaine Drouhin Oregon Roserock Zéphirine Pinot Noir 2017,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/domaine-drouhin-oregon-roserock-z%C3%A9phirine-pinot-noir-2017-488684
38.95,88,Gérard Bertrand Côte des Roses Rosé 2018,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/g%C3%A9rard-bertrand-c%C3%B4te-des-roses-ros%C3%A9-2018-490912
29.95,92,Intrinsic Cabernet Sauvignon 2017,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/intrinsic-cabernet-sauvignon-2017-493379
68.00,93,Cave di Prun Riserva Amarone della Valpolicella Classico 2008,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/cave-di-prun-riserva-amarone-della-valpolicella-classico-2008-499889
15.95,89,Vilarnau Barcelona Reserva Brut Cava,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/vilarnau-barcelona-reserva-brut-cava-515254
35.95,93,Ama Chianti Classico 2016,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/ama-chianti-classico-2016-515759
69.00,91,Lang & Reed Two Fourteen Cabernet Franc 2013,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/lang-reed-two-fourteen-cabernet-franc-2013-521393
23.75,90,Ferraton Père & Fils Calendes Crozes-Hermitage 2016,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/ferraton-p%C3%A8re-fils-calendes-crozes-hermitage-2016-526376
28.95,90,Quadrus Reserva 2011,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/quadrus-reserva-2011-534271
102.00,96,Prats & Symington Chryseia 2017,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/prats-symington-chryseia-2017-538660
79.00,95,Giovanni Manzone Castelletto Barolo 2015,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/giovanni-manzone-castelletto-barolo-2015-539239
16.25,92,Vistamar Corte de Campo Coastal Blend 2015,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/vistamar-corte-de-campo-coastal-blend-2015-541003
23.95,94,Matetic Corralillo Winemaker's Blend 2015,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/matetic-corralillo-winemakers-blend-2015-541177
17.95,92,Hola! Organic Brut Cava,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/hola%21-organic-brut-cava-545848
102.00,95,The Hilt Old Guard Chardonnay 2016,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/the-hilt-old-guard-chardonnay-2016-546259
62.00,94,Maetierra Dominum QP 2009,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/maetierra-dominum-qp-2009-548032
